,아이디,댓글 내용
804,  눈누난나,"네 분 목소리를 내 feel대로 정리해봤다 신연아님은 재즈 LP판 돌리면 나오는 목소리같다. 삐끗하면 오페라로 넘어가서 마술피리 부를 것만 같은 목소리..중간 톤으로 중심을 잘 잡으시나 하다가 고음에 깜짝깜짝 놀란다. 너무 편하게 하셔..이지영님은 말해 뭐해.. 내 최애. 내 기억 속에 있던 빅마마 목소리를 찾게 되어서 행복한 요즘이다. 한쿡인 쏘울 no no에요. 저세상 저음 내려가서 귀에 팍 꽂히는데, 어떻게 기본음 안 따라가고 쭉 화음 맞추시는지.. 근데 고음도 쭉 올라가서 매력터짐 ㅠㅠ 웃으실 땐 세상 귀여운데 노래만 시작하면 무서운데 사랑해요 교수님. 이영현님은 살을 빼셔서 목소리가 덜 두꺼워졌다고 느껴지다가도, 더욱 다듬어진 목소리가 들린다. 나는 가수다에서 부르신 천년의 사랑이 아직도 떠오른다... 박민혜님은 빅마마에서 현대적이고 깔끔함 담당. 깨끗 그 자체- 같은 고음을 올라가는데 느낌이 다르다. 어떻게 표정 변화가 없어염 ....? 하루만 더 에서 민혜님 목소리가 많이 들려서 좋네요 :-) 여튼, 네 분의 목소리 모두 너무 아름답고, 각기 다른 목소리가 화음을 만들어내는 게 신기할 따름. 음이탈이 없고 자기만의 루트를 따라감. 얼마나 많은 연습을 했을 지 상상도 안됨."
805,  SONG GAM,이거지
806,  라시얀,애초에 데뷔때 부터도 가창력으론 탑급이었디…
807,  쏭 꽁,지린다 씨발 내가 지금 뭘 들은거냐?
808,  고은,어우 언니들 너무 반갑고 여전히 멋있어요..근데 왜 자꾸 울컥할까요 ㅠㅠ 지금은 교수님이 되신 언니들 A++드립니다! 여윽시 빅마마는 진리! 👍👍👍
809,  나랑싸울래?,노래 참 편하게한다… 인상도안쓰네..
810,  할수있다,"msg워너비가 남자그룹 프로젝트라면 이번엔 여자그룹 만들기 프로젝트도 하면 어떨까요?? 박혜원,송하예,이예준,신예영 등등 숨은 발라드 여성가수들이 많은데 씨야,가비엔제이,빅마마 같은 여자그룹 만들기 프로젝트 갑시다"
811,  물고기,교수님 저 그냥 F주세요포기하겠습니다ㅋㅋ
812,  민라이프,빅마마 그냥 미쳤다
813,  지민스토커,지영님의 중저음영역은 넘사벽신의영역이다
814,  달에피는꽃,중간 중간 화음이 레전드
815,  강지혜,아...진짜 퇴근길 힐링받으면서 갑니다 ㅜㅜ신연아가수님  목소리 첼로같이 고급지고 우아할 수 있을까요 첫소절 나오자마자 소름이 쫘악 ㅜㅜ이지영가수님 어떻게 대한민국에서 저런 소울에 개성을 가지고 계신건지 ㅠㅠ 음색 진짜 독보적이고이영현가수님 어쩜 저렇게 작아지셨는데도  파워풀한건 그대로고 호소력감정전달력 미쳤고ㅠㅠ박민혜가수님 목소리가 깔끔하고 소녀같고 애틋하고 ㅜㅜ 후 이렇게 노래를 부르면 진짜 어떤기분일지.....너무 멋있어요 ㅜㅜ
816,  모모아빠,와 최고
817,  박성욱,남성 댄스그룹  그리고 싹쓰리2집존버하고있어요
818,  한큐,귀가 호강한다!!!!!!!!!!!!!!!!!!!!!
819,  방콕포차,크~훌륭하다...
820,  김남균,??? : 교수님 점수 이해가 안되는데요.. 이정도면 B는 주셔야죠교수들 : 이래도????? : 다음 학기도 잘부탁드려요^^
821,  Craig. H.,원조메보좌컬단발좌거북왕좌왕입술좌
822,  내마음가는대로잡히지마,100만가즈아 🙏
823,  Sunghee Eo,딩고보다왔는데 사운드가 왜이럼? 흑 이게 뭐여... 교수돌 모셔놓구 ㅜㅜ
824,  이름,역시 빅마마
825,  봄봄,W😍W
826,  Tae Park,영원무궁토록 활동해주세요 제발요 ㅠ
827,  파노라마,음색들이 저렇게 개성이 넘치는데 미친듯이 잘어울리는게 아직도 이해가 안가. 솔로파트 완벽한데 2명 3명 4명 조합으로 할때마다 또 다른 소리가 나오는데 그게 또 미친듯이 좋아. 짜장이 짬뽕을 섞어서 맛있을 리가 없을건데 하다가 띠용! 완벽 그 자체의 맛이 나오는거지. 군만두에 된장을 찍어서 입가심 하는데 이게 또 짜장짬뽕 섞은 맛에 더 환장하게 맛있네? 이런 느낌
828,  Play in hobby플라비,미땻따…..
829,  승구,와.......밖에 안나오는데요?
830,  Teawoo Kim,지영님 뱃쨜너무귀여워요ㅎㅎㅎㅎ
831,  오뉴멀티탭,자연스러운 모습 좋아요~
832,  Re:try,시작부터 뷁꺼웨이네? 학생들~저 교수님들 이겨먹어야 A+입니다.
833,  ON M,마마무 이전에 빅마마가 있었다..
834,  woni0639,누나들 솔로곡 하나씩만 내주세요
835,  강청선,빅마마도 나와주셨으니 브아솔도 나와주셨으면 좋겠네요 나와서 본인들이 주신노래 한번만 불러주셨으면~
836,  sora b,기슥이 왜케신났노 ㅋ
837,  복이,학술 세미나 무대를 제대로 뒤집어버리고 오신 교수님들...
838,  이야압,"아니 오랜만에 나왔다고 노래 부르는데 음원을 깔면 어쩌자는 거야,,, 요즘 신인들도 그렇겐 안 해...아니 못해"
839,  벵에돔헌터,팬티 어쩔 …
840,  초고추장,빤스값 물어내라!!
841,  SW K,음향 왜케 구려
842,  GreatnGreat,크.. 소름이.. 👍👍👍👍
843,  Yeon seungho,지린다...
844,  도도,원조YG
845,  김일환,학생들이: 교수님들도 조별과제해보세요 했을때교수님들이: 알았어 보여줄께교수님들::이게 조별과제 완성품이야 얘들아학생들: .............죄송합니다.......교수님들 : 똑바로해ㅎ이런느낌이다 경건해진다 진짜
846,  Numi J,빅마마언니들 보던 알고리즘이 놀면뭐하니를 보게 만들다니!!
847,  노바스켓맨,체념 후 라이브로 언제 들어볼수 있을까?
848,  우리금빛나라,아이돌들..휴..이거보고 반성들..역쉬 보컬 쵝오
849,  모앙,1:43  김세정
850,  K.H Bang,막내누님 목소리 왜케좋음? 재발견이네 워~~
851,  최연서,소름.. 내내 닭살 돋아서 팔이 너무 징그러울 지경이에요.
852,  박성욱,MSG워너비 여성보컬그룹 버전 엠비씨야좀해주세요 씨야도 보고싶어요
853,  DP,어떻게 이 네명을 모아 그룹을 만들생각을했지...?
854,  HY K,역주행  해외진출 해주세요!!
855,  박지유,0:01
856,  안현욱,빅마마 사랑해요
857,  점보,박자가 자꾸 밀리는듯하고가수들은 찐인데 음향이...
858,  크소울 다,동요가 이런거였나...?
859,  벽돌,음향빼고 모든게완벽
860,  전준호,???:조별과제 이정도만하시면됩니다.???: ???????????????!!!!!!!!!!!
861,  문로렌,30살 빅마마 골수팬입니다옛날에 콘서트 갔다가 머리부터 발가락 발톱까지다 지려가지고 그랬는데 다시 나와서 요즘 너무 귀호강 한달까…..으헝헝 빅마마 ㅠㅠ
862,  응원합니다닥터벤데타,빅마마보유국이다..
863,  윤현제,머리카락이하늘을봐요..전신소름..
864,  니도,도대체 싫어요는 왜......ㅠ? 눌리는거야 이게 싫어요 누른 사람들은 뭐가 좋아요일까
865,  보고가요,11:10
866,  으잉,이게 가수다
867,  아이고소니야,그래서 조장이 누구죠?
868,  e cozyy,교수님들......
869,  아모르겠고,일단 좋아요 누르고 시청해야함
870,  송죠,난 빅마마+스윗소로우 합동무대 존버탄다
871,  김유진,후..끊임없이 소름돋는다
872,  이은호,진짜 노래들으면서 소름돋은게 오랜만이다...
873,  惠楊,好聽☺
874,  토르,보노보노 넣어도 A+ 받겠네
875,  세모링가,우아 귀 시원
876,  김수지,조별 과제가 아니라 논문 하나 쓰셨는데 그냥 바지에 그냥 지릴뻔 했네
877,  백근영,중간 기말 조져도 과제로 A+
878,  0927 2020,이지영씨 원픽
879,  박지유,4:44
880,  어느봄,각자 준비 잘해 오셨군요 A++++++ 입니다
881,  77777 jhj,사랑해요 빅마마
882,  돌핀,다음은 스몰마마?!
883,  조복서,감미롭다 귀호강
884,  최재훈,금영 9282
885,  Ch DH,화음이 한음한음 쌓일때마다 소름이
886,  민들래,개강 눈치챙겨라
887,  트레비,크..... 무림의 지존들이 모였네
888,  뚱뚜웅,그거 알아요? 너무도 오랜만에 TV를 보다가 흘러나오는 노랫소리에 나도 모르게 눈물이 났어요 감사해요 나의우상들 나의추억들❤ 나의 추억 그 한켠에 함께해줘서 고마워요
889,  달리기맛 우유,교수님들 신나셨네...
890,  달달한 나무,"빅마마 노래 나왔을때 내 주변 사람들 열에 아홉은 핸드폰 벨소리가 거부, 체념.. 다 빅마마 노래 였음.. 지금 들어도 너무 귀호강 꿀뚝뚝..이네요ㅜㅜ 영상 감사합니다.😆🥰💕🍀"
891,  토르,숨어있는 재야의 고수들 다 나왔으면 특히 씨야/ 브라운아이즈/다비치/ 샵 /  쿨많이 많이 보고 싶습니다
892,  NAM DH,코로나 끝나면 무조건 빅마마공연 따라 다닐겁니다.다시 들으니 예전과 느낌이 너무 다르네요. 감동입니다.
893,  냐홍냐홍,와 몸에 소름이 몇번을 돋는거니;; 좀 당황스럽네 닭보다 더 완벽한 닭살이..
894,  se hor,격한춤도 꽉차는 퍼포먼스가없어도 숨멎게하는 마성의 조합
895,  지식인,근데왜 체념이없져
896,  Star Forest,소름 소름 소름
897,  NO Name,거부는 정말 명곡 중에 명곡인듯
898,  영현 이,코리아나 이후에 대한민국 최고의 그룹
899,  가은,학생들이 이렇게 부르면 바로 대학원 조교
900,  Bokkyun Bae,교수님?? 계절학기도 안되겠는데요;;;
901,  김지현,교수돌은 세계최초 아님?!
902,  전자파중독,기계한테 시켜도 이것보다 허술할듯..
903,  똘레랑스,파트별 개성이 확실한데...그녀들이 하모니가 전혀 어색하지않고 너무 좋다. 그리고 확실한건 로우파트든 하이파트든 그녀들은 전부 고음벨팅이 된다는거임 한명한명 탑티어 가수라는거ㅎㅎㅎ
904,  알파카,음악교과서 노래들 좀 화음넣어서 만들어주세요!! 동요집이라도 ㅠㅠ
905,  쓰레기처단,노래 디지게 잘하네 와
906,  DHR,???:아니 왜 학생들은 조별과제를 이렇게 못할까? 이 쉬운 걸...
907,  취미생활,나도 모르게 눈물 찔끔
908,  한동진,한명 한명음색이달라서 조화도잘되고 역시 빅마마야
909,  이플,젠장 광고ㅜ
910,  갤럭시노트로그리기,듣는 사람들 표정에서 노래 실력이 느껴진다👍👍👍
911,  이키,이날씨에 온몸닭살
912,  이아름,하루만 더 완전 박민혜님 노래인데 목소리랑 완전 찰떡이세영!!!!
913,  kwan,쌈치기좀 안나오믄 좋겠네
914,  김종범,여신강림
915,  이모션영원히 영현신,😍😍😍😍😍
916,  미나찡,와
917,  se hor,꽉채우는저음 단단한원음 감칠맛나는서드 고막터지는하이
918,  시간,7월 22일 20시 24분
919,  ༒ ༒,미.춋.따.
920,  응뭐,이거지  하 좋다
921,  빵게,yg가 여러모로 대단하네
922,  Alex Y,Holly Molly Beautiful!!!!!!!!!!!
923,  COVER,재석이형 좀 조용히해봐요..
924,  민혁 최,빅마마 분들을 노래방에서만 접해본 나는 얼핏 마마무가 빅마마를 많이 닮아 있단 생각이 드네! 물론!!  엄연히 다 다른 개성이랑 음색을 가지고 있지만그런부분에 있어서 빅마마와 마마무가 닮아 있는듯한 느낌을 받음 영상으로는 접한지 별로 되지 않았지만 하루만 더 요즘 반복재생중ㅠ
925,  LBクランリーダーネロ,와......................................................
926,  바기,고된 야근 후 한잔 하면서 누님들 노래에 스트레스 풉니다
927,  샤이린네,댓글에 거미가 무슨얘기지 했는데 맨끝에 나오네요 ㅋㅋ 대박
928,  권인철,동요마저 바로 화음으로 만들어버리는분들.. 이래서 믿고듣는 빅마마 라는말이 생기는가봅니다... 누님들 쵝오👍
929,  Kinue Aoki,🎶🎵❤❤❤🇧🇷
930,  조이엘로,조별과제가 아니라 이정도면 학술대회 빅마마의 세미나입니다 ^^
931,  전상국상국,노래란 이런거
932,  장첸,단발좌...
933,  부르릉바박,이영현씨는 5초 김세정
934,  모글리,"악기세션 백수행코러스 백수행음향감독 백수행가수지망생들 포기그 와중에 살빼고 다들 이뻐지기까지해??빅마마가 여럿 죽이네ㅋㅋ넷이면 그냥 무대가 꽉참,, 다 필요없음..넷이 평생 다 해먹어라!!!!! 평생 노래 부르다 죽어라!!"
935,  헬조선,아니 광고를 몇개나 넣은거야 그놈의 짧은 여정 긴 여정
936,  shop JinMi,유튜브 프리미엄 강추ㅋ전광고없이들어용ㅋ
937,  헬조선, @shop JinMi  이래서 유튜브 프리미엄을 쓰는거구나
938,  박태준,빅마마 나올떄쯤 실력있는 얼굴없는가수들이 많이 나오기 시작했음김범수도 이쯤 나오지않았나 왁스도 비슷하고브아걸도 처음엔 얼굴없는가수였고귀호강하고 갑니당
939,  hyo kim,그 김범수님이랑 왁스님은 1990년대 데뷔로 알고있는데.. 아닌가요? 빅마마분들은 제 기억상으로는 월드컵 지나고 데뷔한걸로 알고 있어요
940,  박태준, @hyo kim  데뷔는 90년대말 데뷔인데 유명해지기 시작한건 2000년대임김범수는 천국의계단OST인 보고싶다로 유명해졌고  천국의계단이 2003년작이니까 월드컵지나고 유명해졌죠왁스는 화장을고치고라는 노래로 유명해졌음
941,  Uk S,영현님 살 빠지면서 목소리에 힘이  좀 줄어든것 같네.
942,  suin K,발성을 바꾼지 오래됨!
943,  박시연콩,진짜 소름이다.. 부드럽다가 마지막에 냅다 내리 꽂는거 소름……. 데몰리션 노래방 가고싶넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 언니들 너무 좋아요😭😭
944,  한군,포세이돈 하데스 제우스 아폴론
945,  캬하하,ㅇㄱㄹㅇ.. 포세이돈-신연아 순으로 딱딱 맞네
946,  부르릉바박,이영현씨 감량하시고 몸매도 아름다워지셨고 목소리도 더깨끗해지시고 실력도 늘거 정말최고에요
947,  수하다,첫소절 .둘번째 소절  부르는 분들 이 정말 잘하죠 ~~
948,  깡원 TV,이게 여성 최강그룹 빅마마인가... 역시 넘사다
949,  모리스안젤로,빅뱅 나가리 되니 YG가 빅마마 미는구나 결과는 대성공
950,  눈누난나,지금 YG 아닙니다!
951,  모리스안젤로, @눈누난나  알죠 YG 돌려까는 말이에요~~
952,  눈누난나, @모리스안젤로  ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅇㅈ
953,  모리스안젤로, @눈누난나  승리 카톡 내용 보구 정내미가 떨어져서요...
954,  눈누난나, @모리스안젤로  진심 .. 이미 10년 전부터 정내미 다 떨어진 1인입니다 .... ㅠ
955,  댕9,"압도적인 코러스 경험치로 안정적이고 든든하게 곡 전반을 받쳐주는 신연아. 째지하고 소울풀한 보컬로 빅마마 음악에 특색을 더해주는 이지영. 파워풀한 고음역대에 섬세한 감성과 기술까지 갖춘 만랩 이영현. 귀 정화해주는 맑고 깨끗한 목소리에 고음역대까지 갖춘 박민혜. 음색, 음역대, 스타일 등 개성이 완전 다른데 이만큼 밸런스가 완벽한 보컬그룹은 정말 손에 꼽음. 주로 중저음대를 담당하는 신연아, 이지영도 고음역대가 가능하고.. 가요계에서 진짜 귀중한 자원들이라 뜸하더라도 계속해서 빅마마로 활동했으면 하는 바람.🙏🏼👍👍👍"
956,  성준김,박재정은 다들 리액션 하는 와중에 저기서도 공부하고있네 ㅋㅋㅋㅋㅋㅋㅋ 겉으론 제일 덜이지만 가장 잘 느끼고 있는듯
957,  박수연,살찐 김세정
958,  존스노우,브아솔이 불러도 완전 잘어울렸겠다  노래 개쥬아
959,  빡빡딥,놀머는 무슨 뮤뱅보다 노래를 더많이트노ㅋㅋ 지겹다 진짜ㅋㅋ 할거 없고 웃길 자신 없으니까 저걸로 시간끔
960,  아무리생강캐도난마늘,예전이나 지금이나 나만빅마마 그닥
961,  mdio,What show is this?
962,  irenarily,"근데요.., 거부 가사 역하게 하잖아 인가요 약하게 하잖아 인가요? 역하게로 알고 있었는데 약하게로 여기저기 나와서 헷갈림…."
963,  크리스리,약하게
964,  aa lim,역하게임
965,  크리스리,네이버 가사집에 약하게로 나오는데요
966,  aa lim, @크리스리  앨범 가사집에 역하게로 되어 있어요.  오기된 곳이 많더라구요
967,  irenarily, @aa lim  그쵸? 저도 씨디를 샀던 사람이라 역하게로 기억하거든요. 문맥적으로도 역하게가 말이 더 되는 가 같아요.
968,  한글최고,역하게 라고 알고있어요...
969,  Tlye P,듣기싫어 꽉막힌 동양인목소리로 흑인모창은 왜하는거
970,  여성인권수호연맹,축쳐지는 냄져들만 나오다소울 보컬 뿜뿜하는 빅마마 !!! 😍나오니 기부니가 너무 좋아요~!!게시판 의견 적극 반영 차냥해~!
971,  Rizal Ong,Im fans right now
972,  Minah La,Yesssssssss
973,  MULTISTAN PLAYLISTS,The English comment you might be looking for
974,  윤정훈,패널 꼴깞떠는것좀 안나오면 안되나요?
975,  Bang Tong,"청와대 보고에 의하면 그 위대한 신께서  40년전에 , 친히 성령으로 역사하시어  전장군에게  작은책을 주시고 , 그를   지팡이로 이용하여 ,12살이하 그 지역인들의 대갈통을  있는힘껏  깨조져 버리신게 분명하다고 한다 °° 그 여호와께는 무기고를 털고 북한을 이롭게 한 죄를 물어 , 합법적으로 그 지역인들을 깨죽일수 있도록 , 역사하신거라   한다 ㅋㅋ   라도들아 , 니네 지역인들이, 지금 40년전 니들 부모들이  길가에 쏟아낸 그 더러운 피(ex 모유)를 ㅊㅕ 먹고, 권력을 잡은거니 , 그에 대한 합당한 대답을 내놔야 할꺼 아니냐 ♧ 그당시 강제로 동원되어 억지로 니들 에미에비들의 ㅂㄸ지를 뚫어 버린 그당시 젊은 공수들에게도 뭔가 대답을 해주야 될거 아니냐 , 그들도 지금 살아서  전부 방송 보고 있다니까 ㅋㅋ"
